1726000,2,2,0,2,0,2,Strixhaven,equipment,Bottle,Blue,,,,,RARE
1726001,2,3,0,0,0,1,Kamigawa,equipment,Talisman,Blue,Green,,,,MYTHIC RARE
1726002,2,1,3,3,0,2,Innistrad,creature,boar,Red,White,Black,,,COMMON
1726003,3,3,1,3,3,0,Ravnica,equipment,Bottle,Black,White,Red,,,UNCOMMON
1726004,2,1,0,0,0,3,Innistrad,equipment,Ring,Black,Green,Blue,,,MYTHIC RARE
1726005,3,1,2,0,1,2,Strixhaven,equipment,Boots,Black,Blue,White,,,COMMON
1726006,0,3,0,1,1,0,Innistrad,creature,dwarf,Red,White,,,,MYTHIC RARE
1726007,3,0,0,3,2,0,Kamigawa,creature,elf,White,Green,Blue,Black,,UNCOMMON
1726008,2,2,3,1,3,3,Innistrad,creature,dwarf,White,Black,,,,MYTHIC RARE
1726009,3,0,1,2,1,1,DnD,creature,human,Black,White,Green,,,MYTHIC RARE
1726010,1,2,2,2,3,2,Strixhaven,creature,zombie,Black,Red,Green,,,UNCOMMON
1726011,0,3,0,0,1,0,Innistrad,creature,dragon,Black,Green,Red,,,RARE
1726012,2,3,2,3,0,3,Innistrad,equipment,Ring,Blue,White,Red,,,UNCOMMON
1726013,2,1,2,2,3,3,Ravnica,creature,dragon,Black,,,,,MYTHIC RARE
1726014,3,0,3,3,2,2,Ravnica,equipment,Talisman,Blue,Red,Green,,,COMMON
1726015,1,3,3,2,2,2,Kamigawa,equipment,Ring,Green,Blue,,,,MYTHIC RARE
1726016,0,2,2,0,2,1,Ravnica,creature,dwarf,Black,Blue,,,,UNCOMMON
1726017,1,0,0,2,1,0,Kaldheim,creature,human,Blue,White,,,,COMMON
1726018,1,2,0,1,0,2,Strixhaven,equipment,Talisman,Blue,White,Red,,,COMMON
1726019,3,0,2,2,3,2,Strixhaven,creature,dragon,Black,Red,,,,COMMON
1726020,3,3,0,0,2,1,DnD,equipment,Ring,Blue,Green,Black,,,RARE
1726021,1,0,3,1,0,0,Ravnica,creature,human,Black,Red,Green,White,,UNCOMMON
1726022,1,1,1,0,1,1,Strixhaven,equipment,Bottle,Black,White,,,,MYTHIC RARE
1726023,2,1,3,3,3,0,DnD,creature,dwarf,White,,,,,MYTHIC RARE
1726024,2,3,0,2,1,3,Strixhaven,equipment,Talisman,Green,Red,White,,,UNCOMMON
1726025,1,2,3,1,1,2,Innistrad,creature,dragon,Red,White,,,,RARE
1726026,2,1,0,1,0,2,Innistrad,equipment,Boots,Red,White,Green,,,COMMON
1726027,1,1,3,3,0,2,Innistrad,equipment,Ring,White,Red,Green,Black,,UNCOMMON
1726028,3,0,0,0,3,1,Innistrad,equipment,Talisman,Blue,,,,,UNCOMMON
1726029,2,0,3,3,3,1,Innistrad,equipment,Ring,Green,Red,,,,MYTHIC RARE
1726030,2,3,1,3,0,1,Ravnica,equipment,Boots,White,,,,,UNCOMMON
1726031,1,1,1,3,0,1,Kaldheim,creature,zombie,Red,,,,,RARE
1726032,1,3,3,3,2,0,Kamigawa,creature,boar,White,Red,,,,COMMON
1726033,1,3,1,0,3,3,Ravnica,creature,boar,Red,Blue,White,,,COMMON
1726034,1,3,1,2,2,0,Ravnica,equipment,Ring,White,,,,,MYTHIC RARE
1726035,0,1,1,1,2,1,DnD,creature,zombie,Green,Blue,,,,MYTHIC RARE
1726036,2,0,0,3,0,3,Kamigawa,creature,dwarf,White,Red,,,,UNCOMMON
1726037,3,3,0,3,2,0,Ravnica,equipment,Bottle,White,Blue,Black,,,RARE
1726038,1,0,1,1,0,0,Strixhaven,creature,boar,Black,Blue,,,,UNCOMMON
1726039,3,0,0,2,0,2,Innistrad,creature,boar,Red,Black,,,,MYTHIC RARE
1726040,1,1,3,0,3,0,Ravnica,equipment,Talisman,Green,White,,,,RARE
1726041,2,3,1,0,3,0,Ravnica,creature,human,Red,Blue,,,,MYTHIC RARE
1726042,2,0,1,1,0,1,DnD,equipment,Talisman,White,Red,Black,,,UNCOMMON
1726043,1,2,3,2,2,1,Kaldheim,equipment,Boots,Blue,Red,Green,,,UNCOMMON
1726044,0,1,0,0,0,1,Kamigawa,creature,dragon,Green,,,,,RARE
1726045,3,0,0,3,1,3,Innistrad,creature,dragon,Black,Red,White,,,MYTHIC RARE
1726046,3,3,1,0,3,0,DnD,equipment,Boots,White,,,,,RARE
1726047,2,0,3,3,2,3,Strixhaven,equipment,Talisman,Green,White,Blue,,,UNCOMMON
1726048,1,3,1,1,0,2,DnD,equipment,Boots,Black,White,Blue,,,RARE
1726049,3,3,1,2,0,0,Ravnica,equipment,Bottle,Blue,Black,White,,,COMMON
1726050,3,0,1,0,0,0,Ravnica,equipment,Talisman,Blue,Black,Green,,,COMMON
1726051,1,0,2,2,2,0,Kaldheim,equipment,Sword,White,Black,,,,COMMON
1726052,2,2,2,3,0,2,Innistrad,equipment,Talisman,Blue,Red,White,,,UNCOMMON
1726053,2,1,1,2,3,3,Kaldheim,equipment,Ring,Green,,,,,COMMON
1726054,2,3,2,0,1,1,Innistrad,equipment,Ring,Blue,Red,,,,RARE
1726055,3,0,1,3,0,1,Strixhaven,creature,dwarf,Black,Green,Red,,,UNCOMMON
1726056,0,2,2,1,2,2,Kaldheim,equipment,Bottle,Blue,White,Black,,,MYTHIC RARE
1726057,3,3,3,3,3,3,Kamigawa,creature,dragon,Red,Black,White,,,UNCOMMON
1726058,0,0,2,0,2,1,DnD,equipment,Boots,Green,Blue,Black,White,,UNCOMMON
1726059,1,2,0,3,0,3,Ravnica,equipment,Bottle,Blue,,,,,RARE
1726060,1,1,2,0,2,0,Strixhaven,creature,elf,Green,,,,,COMMON
1726061,2,1,0,1,0,0,Kaldheim,creature,dragon,Red,Black,,,,UNCOMMON
1726062,3,0,2,2,3,0,Strixhaven,creature,human,Blue,Green,,,,UNCOMMON
1726063,0,3,1,1,3,1,Kaldheim,equipment,Sword,White,Black,,,,COMMON
1726064,0,1,3,3,2,0,Kamigawa,equipment,Talisman,Black,,,,,MYTHIC RARE
1726065,1,2,2,3,1,3,Ravnica,creature,dwarf,White,Green,,,,RARE
1726066,1,0,1,3,3,3,DnD,creature,dwarf,Blue,White,,,,COMMON
1726067,1,2,1,3,1,1,DnD,equipment,Boots,Black,White,Blue,,,RARE
1726068,2,3,0,2,1,0,DnD,creature,human,Blue,,,,,RARE
1726069,1,1,2,0,0,3,DnD,equipment,Sword,Green,White,,,,MYTHIC RARE
1726070,1,1,1,0,2,0,Strixhaven,creature,elf,Black,Blue,Green,Red,,UNCOMMON
1726071,1,3,0,2,0,2,Kamigawa,creature,human,Green,,,,,RARE
1726072,2,1,2,3,3,1,Innistrad,equipment,Ring,Green,White,,,,UNCOMMON
1726073,2,3,0,1,2,2,DnD,creature,human,Blue,,,,,MYTHIC RARE
1726074,1,3,3,0,0,1,Kaldheim,creature,elf,Red,Black,,,,RARE
1726075,0,0,0,3,3,3,Innistrad,equipment,Ring,Blue,,,,,RARE
1726076,1,1,3,0,1,1,DnD,equipment,Ring,Blue,Black,Red,White,,RARE
