1802000,0,2,3,1,2,3,DnD,creature,dragon,Red,Blue,,,,RARE
1802001,2,0,1,0,0,2,Kamigawa,creature,elf,White,Black,Blue,,,UNCOMMON
1802002,1,3,0,0,2,1,Kamigawa,creature,human,Black,,,,,MYTHIC RARE
1802003,2,2,2,3,1,0,Strixhaven,creature,human,White,Black,Blue,Green,,MYTHIC RARE
1802004,2,2,0,0,3,2,Kaldheim,creature,dragon,White,,,,,COMMON
1802005,2,0,2,1,1,3,Kamigawa,equipment,Bottle,Blue,Black,,,,RARE
1802006,1,2,3,3,1,2,Innistrad,creature,human,Green,Blue,Black,,,MYTHIC RARE
1802007,0,3,2,3,1,1,Ravnica,equipment,Bottle,Red,White,Blue,Black,,MYTHIC RARE
1802008,2,3,3,2,0,2,Strixhaven,equipment,Bottle,Blue,,,,,UNCOMMON
1802009,1,2,2,3,0,1,Strixhaven,equipment,Boots,White,Blue,Black,,,COMMON
1802010,0,0,2,2,2,2,DnD,equipment,Boots,Blue,Black,White,,,RARE
1802011,1,3,0,2,1,0,Kaldheim,creature,dwarf,Black,White,,,,RARE
1802012,0,1,2,0,2,0,Strixhaven,creature,elf,Red,Black,,,,MYTHIC RARE
1802013,3,2,2,0,0,2,Ravnica,equipment,Sword,Green,Black,White,,,RARE
1802014,2,2,0,1,3,2,Kaldheim,creature,human,White,Green,Red,,,MYTHIC RARE
1802015,3,0,3,2,3,3,Kaldheim,creature,human,Blue,White,,,,MYTHIC RARE
1802016,2,2,2,1,1,0,Kaldheim,creature,dragon,Green,Blue,,,,MYTHIC RARE
1802017,0,3,0,0,3,2,Ravnica,equipment,Ring,White,,,,,COMMON
1802018,3,1,3,2,3,0,Kaldheim,equipment,Sword,White,Green,,,,UNCOMMON
1802019,1,2,3,0,0,3,Strixhaven,creature,zombie,Green,,,,,UNCOMMON
1802020,2,2,2,2,3,3,Ravnica,creature,boar,Red,Blue,Green,,,COMMON
1802021,0,0,3,3,0,0,Strixhaven,creature,dragon,White,Red,Blue,,,MYTHIC RARE
1802022,0,1,1,3,3,2,Ravnica,equipment,Talisman,Green,White,Black,,,MYTHIC RARE
1802023,0,3,0,0,1,2,Innistrad,creature,human,Red,White,,,,MYTHIC RARE
1802024,2,3,2,1,2,0,Kaldheim,creature,dragon,Blue,White,,,,MYTHIC RARE
1802025,0,2,3,0,1,2,DnD,creature,dragon,Red,,,,,MYTHIC RARE
1802026,1,0,0,1,2,1,Ravnica,equipment,Ring,Blue,Black,,,,UNCOMMON
1802027,2,3,2,2,1,2,Kamigawa,equipment,Boots,White,Red,,,,COMMON
1802028,2,3,1,3,1,1,Kamigawa,creature,dragon,Black,Blue,White,Red,,MYTHIC RARE
1802029,1,3,3,1,2,1,Innistrad,equipment,Sword,Blue,Green,White,Red,,RARE
1802030,1,0,0,0,1,1,DnD,equipment,Bottle,Red,White,Blue,,,MYTHIC RARE
1802031,0,3,0,0,0,0,Kaldheim,equipment,Sword,Red,Black,,,,COMMON
1802032,0,3,3,1,2,3,Innistrad,equipment,Boots,Green,Blue,Red,,,MYTHIC RARE
1802033,2,1,3,1,0,3,Strixhaven,creature,elf,Green,Red,,,,RARE
1802034,0,0,3,1,2,1,Innistrad,creature,dragon,Blue,White,,,,UNCOMMON
1802035,3,3,3,3,0,3,Kaldheim,creature,elf,Red,Black,Green,,,COMMON
1802036,3,3,3,0,3,2,Strixhaven,creature,zombie,Blue,Green,Red,Black,,RARE
1802037,2,2,3,2,0,2,Kamigawa,creature,zombie,Green,,,,,MYTHIC RARE
1802038,0,1,1,3,3,2,Strixhaven,equipment,Boots,Blue,Black,,,,UNCOMMON
1802039,1,0,1,1,1,0,DnD,creature,dragon,Red,Blue,White,,,UNCOMMON
1802040,1,1,0,2,0,2,Innistrad,equipment,Talisman,Green,White,,,,MYTHIC RARE
1802041,1,1,3,0,2,1,Innistrad,creature,zombie,Blue,,,,,UNCOMMON
1802042,3,0,2,1,0,1,Kamigawa,equipment,Talisman,Black,Blue,Red,,,COMMON
1802043,0,0,3,3,2,2,Kamigawa,creature,boar,Green,Black,White,,,COMMON
1802044,2,2,2,2,2,0,DnD,equipment,Talisman,Green,Blue,,,,MYTHIC RARE
1802045,2,2,3,2,0,2,Ravnica,equipment,Talisman,Red,Green,Black,,,UNCOMMON
1802046,3,2,1,3,2,1,Ravnica,creature,human,Black,Blue,,,,COMMON
1802047,0,0,0,0,2,3,Kaldheim,creature,dwarf,Blue,White,,,,COMMON
1802048,3,0,1,2,2,0,Innistrad,creature,elf,Blue,Green,Black,,,COMMON
1802049,3,1,2,0,1,0,DnD,creature,dwarf,Red,Black,White,,,MYTHIC RARE
1802050,0,1,0,2,1,2,Kaldheim,creature,dwarf,White,Blue,,,,RARE
1802051,3,2,2,2,0,0,DnD,creature,dwarf,Red,Black,White,Blue,,COMMON
1802052,2,1,1,0,1,1,Ravnica,creature,zombie,Blue,Red,Black,Green,,COMMON
1802053,3,1,3,3,2,2,Innistrad,creature,boar,Black,Blue,,,,MYTHIC RARE
1802054,1,2,0,2,3,2,Innistrad,creature,dragon,Red,Green,Blue,,,UNCOMMON
1802055,2,2,0,0,2,1,Innistrad,creature,boar,White,,,,,UNCOMMON
1802056,0,0,1,2,3,2,Kamigawa,creature,dragon,White,Red,Green,Black,,UNCOMMON
1802057,3,3,3,2,2,2,DnD,creature,dragon,White,,,,,COMMON
