1492000,3,0,0,3,3,3,Strixhaven,creature,boar,Black,Blue,,,,UNCOMMON
1492001,0,2,1,3,2,1,Ravnica,equipment,Boots,Blue,,,,,RARE
1492002,1,2,2,2,0,0,Ravnica,equipment,Bottle,Green,Black,Blue,Red,,RARE
1492003,2,1,0,2,2,1,Innistrad,equipment,Ring,Green,White,Red,,,UNCOMMON
1492004,3,2,1,0,3,3,Kamigawa,creature,boar,Blue,Black,,,,RARE
1492005,2,2,1,0,1,1,Kaldheim,equipment,Bottle,Red,Black,Blue,,,MYTHIC RARE
1492006,1,3,3,2,2,3,Ravnica,creature,boar,White,,,,,RARE
1492007,3,2,3,2,2,1,Ravnica,creature,zombie,Red,Green,Black,,,MYTHIC RARE
1492008,3,1,2,3,2,0,Kaldheim,equipment,Ring,Green,Black,White,,,RARE
1492009,0,2,3,0,1,2,DnD,creature,zombie,Black,Green,Red,,,COMMON
1492010,2,2,0,3,3,3,Innistrad,creature,dragon,Black,Green,,,,COMMON
1492011,1,0,1,2,1,0,Innistrad,equipment,Boots,Green,Black,White,Blue,,MYTHIC RARE
1492012,1,1,1,0,0,3,DnD,equipment,Boots,White,Blue,Black,Red,,MYTHIC RARE
1492013,1,0,2,2,3,3,Kaldheim,equipment,Boots,White,,,,,UNCOMMON
1492014,3,2,0,3,0,3,Ravnica,creature,dragon,White,Red,,,,UNCOMMON
1492015,1,2,1,1,1,0,Innistrad,equipment,Bottle,White,,,,,COMMON
1492016,0,2,0,0,0,0,Kaldheim,creature,human,White,Blue,,,,UNCOMMON
1492017,3,2,2,1,3,0,DnD,equipment,Sword,Green,Red,White,,,COMMON
1492018,0,3,2,0,2,2,Kamigawa,creature,human,Green,White,Blue,Red,,COMMON
1492019,3,2,0,0,2,0,Kamigawa,equipment,Boots,Green,,,,,MYTHIC RARE
1492020,1,1,2,3,3,2,Strixhaven,equipment,Talisman,Green,,,,,COMMON
1492021,3,1,2,3,0,1,Kaldheim,creature,zombie,White,Blue,Green,,,COMMON
1492022,3,0,1,0,2,2,Strixhaven,equipment,Talisman,Red,Blue,Black,,,MYTHIC RARE
